class,method_name,count
org.apache.phoenix.cache.aggcache.SpillManager,getAggregators,1
org.apache.phoenix.cache.aggcache.SpillManager$CacheEntry,&lt;init&gt;,1
org.apache.phoenix.cache.aggcache.SpillableGroupByCache,&lt;init&gt;,1
org.apache.phoenix.compile.BaseMutationPlan,getContext,1
org.apache.phoenix.compile.BaseMutationPlan,&lt;init&gt;,1
org.apache.phoenix.compile.BindManager,getParameterMetaData,1
org.apache.phoenix.compile.BindManager,&lt;init&gt;,1
org.apache.phoenix.compile.CloseStatementCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.ColumnNameTrackingExpressionCompiler,getDataColumnNames,1
org.apache.phoenix.compile.CreateFunctionCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.CreateIndexCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.CreateSchemaCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.CreateSequenceCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.CreateTableCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.CreateTableCompiler$ColumnTrackingExpressionCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.CreateTableCompiler$ViewWhereExpressionValidatorVisitor,defaultReturn,1
org.apache.phoenix.compile.CreateTableCompiler$ViewWhereExpressionVisitor,&lt;init&gt;,1
org.apache.phoenix.compile.CreateTableCompiler$ViewWhereExpressionVisitor,defaultReturn,1
org.apache.phoenix.compile.CreateTableCompiler$ViewWhereExpressionVisitor,visitLeave,1
org.apache.phoenix.compile.DeleteCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.DeleteCompiler,deleteRows,1
org.apache.phoenix.compile.DeleteCompiler$ClientSelectDeleteMutationPlan,getContext,1
org.apache.phoenix.compile.DeleteCompiler$ClientSelectDeleteMutationPlan,getTargetRef,1
org.apache.phoenix.compile.DeleteCompiler$MultiRowDeleteMutationPlan,&lt;init&gt;,1
org.apache.phoenix.compile.DeleteCompiler$ServerSelectDeleteMutationPlan,getContext,1
org.apache.phoenix.compile.DeleteCompiler$ServerSelectDeleteMutationPlan,&lt;init&gt;,1
org.apache.phoenix.compile.DropSequenceCompiler,&lt;init&gt;,1
org.apache.phoenix.compile.ExplainPlan,getPlanSteps,1
org.apache.phoenix.compile.ExplainPlan,&lt;init&gt;,1
org.apache.phoenix.compile.ExplainPlanAttributes,getRegionLocations,1
org.apache.phoenix.compile.ExplainPlanAttributes,getServerMergeColumns,1
org.apache.phoenix.compile.ExplainPlanAttributes$ExplainPlanAttributesBuilder,setRegionLocations,1
org.apache.phoenix.compile.ExplainPlanAttributes$ExplainPlanAttributesBuilder,setServerMergeColumns,1
org.apache.phoenix.compile.ExpressionCompiler,visitLeave,1
org.apache.phoenix.compile.ExpressionCompiler$3,create,1
org.apache.phoenix.compile.ExpressionCompiler$5,create,1
org.apache.phoenix.compile.FromCompiler$BaseColumnResolver,createTableRef,1
org.apache.phoenix.compile.FromCompiler$ColumnResolverWithUDF,&lt;init&gt;,1
org.apache.phoenix.compile.FromCompiler$MultiTableColumnResolver,resolveColumnFamily,1
org.apache.phoenix.compile.FromCompiler$MultiTableColumnResolver,resolveColumn,1
org.apache.phoenix.compile.FromCompiler$SchemaResolver,&lt;init&gt;,1
org.apache.phoenix.compile.GroupByCompiler$GroupBy,getKeyExpressions,1
