class,method,count
org.apache.tools.ant.taskdefs.Execute,setEnvironment,1
org.apache.tools.ant.taskdefs.Execute,setStreamHandler,1
org.apache.tools.ant.taskdefs.Execute,getEnvironmentVariables,1
org.apache.tools.ant.taskdefs.Execute,getVMSLogicals,1
org.apache.tools.ant.taskdefs.ExecuteJava,setClasspath,1
org.apache.tools.ant.taskdefs.ExecuteJava,setJavaCommand,1
org.apache.tools.ant.taskdefs.ExecuteJava,setPermissions,1
org.apache.tools.ant.taskdefs.ExecuteJava,setSystemProperties,1
org.apache.tools.ant.taskdefs.ExecuteJava,NOVALUE,1
org.apache.tools.ant.taskdefs.ExecuteJava,execute,1
org.apache.tools.ant.taskdefs.ExecuteOn,createMapper,1
org.apache.tools.ant.taskdefs.ExecuteOn,createSrcfile,1
org.apache.tools.ant.taskdefs.ExecuteOn,createTargetfile,1
org.apache.tools.ant.taskdefs.Exit,createCondition,1
org.apache.tools.ant.taskdefs.Expand,createMapper,1
org.apache.tools.ant.taskdefs.FixCRLF$OneLiner,getEofStr,1
org.apache.tools.ant.taskdefs.FixCRLF$OneLiner,nextElement,1
org.apache.tools.ant.taskdefs.Get,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Get,createMapper,1
org.apache.tools.ant.taskdefs.Get,checkAttributes,1
org.apache.tools.ant.taskdefs.Get$GetThread,run,1
org.apache.tools.ant.taskdefs.Get$GetThread,closeStreams,1
org.apache.tools.ant.taskdefs.Get$GetThread,downloadFile,1
org.apache.tools.ant.taskdefs.Get$VerboseProgress,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.ImportTask,isOneOf,1
org.apache.tools.ant.taskdefs.Input,createHandler,1
org.apache.tools.ant.taskdefs.Input$Handler,getType,1
org.apache.tools.ant.taskdefs.Input$Handler,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Input$Handler,setType,1
org.apache.tools.ant.taskdefs.Input$Handler,NOVALUE,1
org.apache.tools.ant.taskdefs.Input$HandlerType,getValues,1
org.apache.tools.ant.taskdefs.JDBCTask,setAutocommit,1
org.apache.tools.ant.taskdefs.JDBCTask,setFailOnConnectionError,1
org.apache.tools.ant.taskdefs.JDBCTask,getClasspath,1
