class,method_name,count
org.apache.maven.api.services.ModelBuilderRequest$ModelBuilderRequestBuilder,userProperties,1
org.apache.maven.api.services.PathSource,resolve,1
org.apache.maven.api.services.ProjectBuilderRequest$ProjectBuilderRequestBuilder,session,1
org.apache.maven.api.services.ProjectManager,attachArtifact,1
org.apache.maven.api.services.SettingsBuilderRequest$SettingsBuilderRequestBuilder,session,1
org.apache.maven.api.services.ToolchainsBuilderRequest$ToolchainsBuilderRequestBuilder,session,1
org.apache.maven.api.services.VersionRangeResolverRequest$VersionResolverRequestBuilder,session,1
org.apache.maven.api.services.VersionResolverRequest$VersionResolverRequestBuilder,session,1
org.apache.maven.api.services.xml.XmlWriterRequest$XmlWriterRequestBuilder,outputStream,1
org.apache.maven.api.services.xml.XmlWriterRequest$XmlWriterRequestBuilder,writer,1
org.apache.maven.api.settings.ActivationFile$Builder,&lt;init&gt;,1
org.apache.maven.api.settings.ActivationOS$Builder,&lt;init&gt;,1
org.apache.maven.api.settings.ActivationProperty$Builder,&lt;init&gt;,1
org.apache.maven.api.settings.InputLocation,getLocations,1
org.apache.maven.api.settings.Profile,getPluginRepositories,1
org.apache.maven.api.settings.Profile,getProperties,1
org.apache.maven.api.settings.Profile,getRepositories,1
org.apache.maven.api.settings.Profile$Builder,pluginRepositories,1
org.apache.maven.api.settings.Profile$Builder,properties,1
org.apache.maven.api.settings.Profile$Builder,repositories,1
org.apache.maven.api.settings.Profile$Builder,&lt;init&gt;,1
org.apache.maven.api.settings.Repository$Builder,&lt;init&gt;,1
org.apache.maven.api.settings.Server$Builder,&lt;init&gt;,1
org.apache.maven.api.settings.Settings,getActiveProfiles,1
org.apache.maven.api.settings.Settings,getMirrors,1
org.apache.maven.api.settings.Settings,getPluginGroups,1
org.apache.maven.api.settings.Settings,getPluginRepositories,1
org.apache.maven.api.settings.Settings,getProfiles,1
org.apache.maven.api.settings.Settings,getProxies,1
org.apache.maven.api.settings.Settings,getRepositories,1
org.apache.maven.api.settings.Settings,getServers,1
org.apache.maven.api.settings.Settings$Builder,activeProfiles,1
org.apache.maven.api.settings.Settings$Builder,mirrors,1
org.apache.maven.api.settings.Settings$Builder,pluginGroups,1
org.apache.maven.api.settings.Settings$Builder,pluginRepositories,1
org.apache.maven.api.settings.Settings$Builder,profiles,1
org.apache.maven.api.settings.Settings$Builder,proxies,1
org.apache.maven.api.settings.Settings$Builder,repositories,1
org.apache.maven.api.settings.Settings$Builder,servers,1
org.apache.maven.api.settings.TrackableBase$Builder,build,1
org.apache.maven.api.settings.TrackableBase$Builder,&lt;init&gt;,1
org.apache.maven.api.toolchain.InputLocation,getLocations,1
org.apache.maven.api.toolchain.PersistedToolchains,getToolchains,1
org.apache.maven.api.toolchain.PersistedToolchains$Builder,toolchains,1
org.apache.maven.api.toolchain.PersistedToolchains$Builder,&lt;init&gt;,1
org.apache.maven.api.toolchain.ToolchainModel,getProvides,1
org.apache.maven.api.toolchain.ToolchainModel$Builder,provides,1
org.apache.maven.api.toolchain.ToolchainModel$Builder,&lt;init&gt;,1
org.apache.maven.api.toolchain.TrackableBase$Builder,build,1
org.apache.maven.api.toolchain.TrackableBase$Builder,&lt;init&gt;,1
org.apache.maven.artifact.DefaultArtifact,setOptional,1
org.apache.maven.artifact.DefaultArtifact,setRelease,1
org.apache.maven.artifact.DefaultArtifact,getAvailableVersions,1
org.apache.maven.artifact.DefaultArtifact,getDependencyTrail,1
org.apache.maven.artifact.DefaultArtifact,getRepository,1
org.apache.maven.artifact.DefaultArtifact,setAvailableVersions,1
org.apache.maven.artifact.DefaultArtifact,setDependencyTrail,1
org.apache.maven.artifact.DefaultArtifact,setRepository,1
org.apache.maven.artifact.factory.DefaultArtifactFactory,&lt;init&gt;,1
org.apache.maven.artifact.handler.manager.LegacyArtifactHandlerManager,&lt;init&gt;,1
org.apache.maven.artifact.manager.DefaultWagonManager,NOVALUE,1
