class,count
org.apache.maven.project.artifact.InvalidDependencyVersionException,2
org.apache.maven.project.artifact.PluginArtifact,2
org.apache.maven.project.artifact.ProjectArtifactsCache$CacheRecord,2
org.apache.maven.project.interpolation.PathTranslatingPostProcessor,2
org.apache.maven.repository.UserLocalArtifactRepository,2
org.apache.maven.repository.legacy.metadata.ArtifactMetadataRetrievalException,2
org.apache.maven.repository.legacy.metadata.DefaultMetadataResolutionRequest,2
org.apache.maven.repository.metadata.ArtifactMetadata,2
org.apache.maven.repository.metadata.MetadataRetrievalException,2
org.apache.maven.settings.RepositoryBase,2
org.apache.maven.settings.building.DefaultSettingsBuilder,2
org.apache.maven.settings.building.DefaultSettingsBuildingRequest,2
org.apache.maven.settings.building.DefaultSettingsProblem,2
org.apache.maven.settings.building.SettingsBuildingException,2
org.apache.maven.toolchain.building.ToolchainsBuildingException,2
org.apache.maven.toolchain.model.PersistedToolchains,2
org.apache.maven.usability.plugin.ExpressionDocumenter,2
org.apache.maven.DefaultArtifactFilterManager,1
org.apache.maven.DefaultMaven,1
org.apache.maven.DuplicateProjectException,1
org.apache.maven.artifact.handler.DefaultArtifactHandler,1
org.apache.maven.artifact.manager.DefaultWagonManager,1
org.apache.maven.artifact.manager.WagonConfigurationException,1
org.apache.maven.artifact.manager.WagonManager,1
org.apache.maven.artifact.metadata.AbstractArtifactMetadata,1
org.apache.maven.artifact.metadata.ArtifactMetadata,1
org.apache.maven.artifact.metadata.ArtifactMetadataRetrievalException,1
org.apache.maven.artifact.metadata.ArtifactMetadataSource,1
org.apache.maven.artifact.metadata.ResolutionGroup,1
org.apache.maven.artifact.repository.metadata.ArtifactRepositoryMetadata,1
org.apache.maven.artifact.repository.metadata.RepositoryMetadataDeploymentException,1
org.apache.maven.artifact.repository.metadata.RepositoryMetadataInstallationException,1
org.apache.maven.artifact.repository.metadata.io.xpp3.MetadataXpp3Writer,1
org.apache.maven.artifact.resolver.WarningResolutionListener,1
org.apache.maven.artifact.resolver.filter.CumulativeScopeArtifactFilter,1
org.apache.maven.artifact.resolver.filter.ExclusionArtifactFilter,1
org.apache.maven.artifact.resolver.filter.ExclusionSetFilter,1
org.apache.maven.artifact.resolver.filter.IncludesArtifactFilter,1
org.apache.maven.artifact.versioning.ComparableVersion$IntItem,1
org.apache.maven.artifact.versioning.ComparableVersion$ListItem,1
org.apache.maven.artifact.versioning.ComparableVersion$LongItem,1
org.apache.maven.artifact.versioning.ManagedVersionMap,1
org.apache.maven.artifact.versioning.VersionRange,1
org.apache.maven.building.FileSource,1
org.apache.maven.building.StringSource,1
org.apache.maven.classrealm.DefaultClassRealmManager,1
org.apache.maven.cli.CLIManager,1
org.apache.maven.cli.CleanArgument,1
org.apache.maven.cli.event.DefaultEventSpyContext,1
org.apache.maven.cli.event.ExecutionEventLogger,1
org.apache.maven.eventspy.internal.EventSpyDispatcher,1
org.apache.maven.execution.BuildSummary,1
org.apache.maven.execution.SettingsAdapter,1
org.apache.maven.lifecycle.MavenExecutionPlan,1
org.apache.maven.lifecycle.internal.LifecycleDependencyResolver,1
org.apache.maven.lifecycle.internal.LifecycleStarter,1
org.apache.maven.lifecycle.internal.MojoDescriptorCreator,1
org.apache.maven.lifecycle.internal.PhaseRecorder,1
