class,method,count
org.apache.maven.execution.BuildSummary,getProject,1
org.apache.maven.execution.DefaultBuildResumptionDataRepository,persistResumptionData,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getData,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getEventSpyDispatcher,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getGoals,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getLocalRepository,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getMirrors,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getPluginArtifactRepositories,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getPluginGroups,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getProfileActivation,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getProfiles,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getProjectActivation,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getProjectBuildingRequest,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getProxies,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getRemoteRepositories,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getServers,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getStartTime,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getSystemProperties,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getToolchains,1
org.apache.maven.execution.DefaultMavenExecutionRequest,getUserProperties,1
org.apache.maven.execution.DefaultMavenExecutionRequest,setEventSpyDispatcher,1
org.apache.maven.execution.DefaultMavenExecutionRequest,setLocalRepository,1
org.apache.maven.execution.DefaultMavenExecutionRequest,setProjectBuildingConfiguration,1
org.apache.maven.execution.DefaultMavenExecutionRequest,setStartTime,1
org.apache.maven.execution.DefaultMavenExecutionRequest,setToolchains,1
org.apache.maven.execution.DefaultMavenExecutionResult,setCanResume,1
org.apache.maven.execution.DefaultMavenExecutionResult,getExceptions,1
org.apache.maven.execution.DefaultMavenExecutionResult,getProject,1
org.apache.maven.execution.DefaultMavenExecutionResult,setProject,1
org.apache.maven.execution.DefaultMavenExecutionResult,setTopologicallySortedProjects,1
org.apache.maven.execution.MavenSession,getAllProjects,1
