class,method_name,count
org.apache.catalina.ant.jmx.JMXAccessorCreateTask,getArgs,1
org.apache.catalina.ant.jmx.JMXAccessorCreateTask,setArgs,1
org.apache.catalina.ant.jmx.JMXAccessorInvokeTask,getArgs,1
org.apache.catalina.ant.jmx.JMXAccessorInvokeTask,setArgs,1
org.apache.catalina.authenticator.AuthenticatorBase,setAlwaysUseSession,1
org.apache.catalina.authenticator.AuthenticatorBase,setCache,1
org.apache.catalina.authenticator.AuthenticatorBase,setChangeSessionIdOnAuthentication,1
org.apache.catalina.authenticator.AuthenticatorBase,setDisableProxyCaching,1
org.apache.catalina.authenticator.AuthenticatorBase,setSecurePagesWithPragma,1
org.apache.catalina.authenticator.AuthenticatorBase,setSendAuthInfoResponseHeaders,1
org.apache.catalina.authenticator.AuthenticatorBase,&lt;init&gt;,1
org.apache.catalina.authenticator.AuthenticatorBase,getContainer,1
org.apache.catalina.authenticator.AuthenticatorBase,setContainer,1
org.apache.catalina.authenticator.BasicAuthenticator,&lt;init&gt;,1
org.apache.catalina.authenticator.DigestAuthenticator,setNonceValidity,1
org.apache.catalina.authenticator.DigestAuthenticator,setNonceCacheSize,1
org.apache.catalina.authenticator.DigestAuthenticator,setNonceCountWindowSize,1
org.apache.catalina.authenticator.DigestAuthenticator,setValidateUri,1
org.apache.catalina.authenticator.DigestAuthenticator,&lt;init&gt;,1
org.apache.catalina.authenticator.DigestAuthenticator$DigestInfo,&lt;init&gt;,1
org.apache.catalina.authenticator.FormAuthenticator,&lt;init&gt;,1
org.apache.catalina.authenticator.FormAuthenticator,matchRequest,1
org.apache.catalina.authenticator.SSLAuthenticator,&lt;init&gt;,1
org.apache.catalina.authenticator.SavedRequest,getBody,1
org.apache.catalina.authenticator.SavedRequest,setBody,1
org.apache.catalina.authenticator.SingleSignOnListener,sessionEvent,1
org.apache.catalina.authenticator.SpnegoAuthenticator,&lt;init&gt;,1
org.apache.catalina.authenticator.jaspic.AuthConfigFactoryImpl,&lt;init&gt;,1
org.apache.catalina.authenticator.jaspic.CallbackHandlerImpl,&lt;init&gt;,1
org.apache.catalina.authenticator.jaspic.CallbackHandlerImpl,getContainer,1
org.apache.catalina.authenticator.jaspic.CallbackHandlerImpl,setContainer,1
org.apache.catalina.authenticator.jaspic.MessageInfoImpl,getMap,1
org.apache.catalina.authenticator.jaspic.MessageInfoImpl,getResponseMessage,1
org.apache.catalina.authenticator.jaspic.MessageInfoImpl,&lt;init&gt;,1
org.apache.catalina.authenticator.jaspic.MessageInfoImpl,setResponseMessage,1
org.apache.catalina.authenticator.jaspic.PersistentProviderRegistrations$Provider,getProperties,1
org.apache.catalina.authenticator.jaspic.PersistentProviderRegistrations$Providers,getProviders,1
org.apache.catalina.authenticator.jaspic.SimpleAuthConfigProvider,&lt;init&gt;,1
org.apache.catalina.authenticator.jaspic.SimpleServerAuthConfig,&lt;init&gt;,1
