class,method_name,count
org.apache.cassandra.db.lifecycle.LifecycleTransaction$ReaderState,&lt;init&gt;,2
org.apache.cassandra.db.marshal.TupleType,equals,2
org.apache.cassandra.db.marshal.TypeParser,getPartitionerDefinedOrder,2
org.apache.cassandra.db.marshal.UserType,equals,2
org.apache.cassandra.db.memtable.AbstractMemtable,&lt;init&gt;,2
org.apache.cassandra.db.partitions.AtomicBTreePartition,&lt;init&gt;,2
org.apache.cassandra.db.repair.CassandraValidationIterator,&lt;init&gt;,2
org.apache.cassandra.db.rows.BTreeRow,&lt;init&gt;,2
org.apache.cassandra.db.rows.NativeCell,&lt;init&gt;,2
org.apache.cassandra.db.rows.Row$Deletion,&lt;init&gt;,2
org.apache.cassandra.db.rows.RowAndDeletionMergeIterator,&lt;init&gt;,2
org.apache.cassandra.db.streaming.CassandraEntireSSTableStreamWriter,&lt;init&gt;,2
org.apache.cassandra.db.streaming.CassandraOutgoingFile,&lt;init&gt;,2
org.apache.cassandra.db.streaming.CassandraStreamReader,&lt;init&gt;,2
org.apache.cassandra.db.streaming.CassandraStreamWriter,&lt;init&gt;,2
org.apache.cassandra.db.virtual.AbstractLazyVirtualTable,&lt;init&gt;,2
org.apache.cassandra.dht.ReusableDecoratedKey,shadowKey,2
org.apache.cassandra.diag.DiagnosticEventService,subscribe,2
org.apache.cassandra.fql.FullQueryLogger$Batch,&lt;init&gt;,2
org.apache.cassandra.fqltool.QueryReplayer,&lt;init&gt;,2
org.apache.cassandra.fqltool.ResultStore$ColumnDefsReader,readMarshallable,2
org.apache.cassandra.gms.ArrayBackedBoundedStats,add,2
org.apache.cassandra.gms.FailureDetector,dumpInterArrivalTimes,2
org.apache.cassandra.gms.GossipDigestAck,&lt;init&gt;,2
org.apache.cassandra.gms.VersionedValue,&lt;init&gt;,2
org.apache.cassandra.index.accord.CheckpointIntervalArrayIndex$CheckpointReader,&lt;init&gt;,2
org.apache.cassandra.index.accord.CheckpointIntervalArrayIndex$SortedListReader,&lt;init&gt;,2
org.apache.cassandra.index.accord.RouteIndexFormat$MemtableRouteIndexWriter,&lt;init&gt;,2
org.apache.cassandra.index.internal.CassandraIndexSearcher,&lt;init&gt;,2
org.apache.cassandra.index.sai.StorageAttachedIndex,&lt;init&gt;,2
org.apache.cassandra.index.sai.disk.v1.SSTableComponentsWriter,&lt;init&gt;,2
org.apache.cassandra.index.sai.disk.v1.SSTableIndexWriter,&lt;init&gt;,2
org.apache.cassandra.index.sai.disk.v1.bbtree.BlockBalancedTreeWalker,&lt;init&gt;,2
org.apache.cassandra.index.sai.disk.v1.bitpack.NumericValuesWriter,&lt;init&gt;,2
org.apache.cassandra.index.sai.disk.v1.keystore.KeyLookup$Cursor,&lt;init&gt;,2
org.apache.cassandra.index.sai.disk.v1.postings.PostingsReader,&lt;init&gt;,2
org.apache.cassandra.index.sai.disk.v1.segment.SegmentMetadata,&lt;init&gt;,2
org.apache.cassandra.index.sai.disk.v1.vector.OnDiskOrdinalsMap,&lt;init&gt;,2
org.apache.cassandra.index.sai.disk.v1.vector.RowIdToPrimaryKeyWithScoreIterator,&lt;init&gt;,2
org.apache.cassandra.index.sai.utils.MergePrimaryKeyWithScoreIterator,&lt;init&gt;,2
org.apache.cassandra.index.sai.utils.PrimaryKey$Factory$StaticPrimaryKey,hashCode,2
org.apache.cassandra.index.sai.utils.PrimaryKey$Factory$StaticPrimaryKey,toString,2
org.apache.cassandra.index.sai.utils.PrimaryKey$Factory$WidePrimaryKey,hashCode,2
org.apache.cassandra.index.sai.utils.PrimaryKey$Factory$WidePrimaryKey,toString,2
org.apache.cassandra.index.sasi.SASIIndex,&lt;init&gt;,2
org.apache.cassandra.index.sasi.analyzer.AbstractAnalyzer,next,2
org.apache.cassandra.index.sasi.analyzer.NonTokenizingAnalyzer,init,2
org.apache.cassandra.index.sasi.analyzer.StandardAnalyzer,init,2
org.apache.cassandra.index.sasi.conf.view.RangeTermTree$Term,&lt;init&gt;,2
org.apache.cassandra.index.sasi.conf.view.View,&lt;init&gt;,2
