class,method,field,count
org.apache.cassandra.config.DatabaseDescriptor,getStartupChecksOptions,startupChecksOptions,1
org.apache.cassandra.config.EncryptionOptions,&lt;init&gt;,accepted_protocols,1
org.apache.cassandra.config.EncryptionOptions,NOVALUE,sslContextFactoryInstance,1
org.apache.cassandra.config.EncryptionOptions,equals,enabled,1
org.apache.cassandra.config.EncryptionOptions,equals,optional,1
org.apache.cassandra.config.ForwardingProperty,&lt;init&gt;,delegate,1
org.apache.cassandra.config.GuardrailsOptions,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.config.InheritingClass,equals,NOVALUE,1
org.apache.cassandra.config.ParameterizedClass,newInstance,NOVALUE,1
org.apache.cassandra.config.RepairRetrySpec,NOVALUE,merkle_tree_response,1
org.apache.cassandra.config.RetrySpec,NOVALUE,maxAttempts,1
org.apache.cassandra.config.RetrySpec$MaxAttempt,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.config.RetrySpec$MaxAttempt,equals,NOVALUE,1
org.apache.cassandra.config.TransparentDataEncryptionOptions,equals,NOVALUE,1
org.apache.cassandra.config.YamlConfigurationLoader,loadConfig,storageConfigURL,1
org.apache.cassandra.cql3.BatchQueryOptions,getQueryOrIdList,queryOrIdList,1
org.apache.cassandra.cql3.CIDR,getEndIpAddress,endIpAddress,1
org.apache.cassandra.cql3.CIDR,getStartIpAddress,startIpAddress,1
org.apache.cassandra.cql3.CQL3Type$Collection,getType,type,1
org.apache.cassandra.cql3.CQL3Type$Collection,&lt;init&gt;,type,1
org.apache.cassandra.cql3.CQL3Type$Custom,getType,type,1
org.apache.cassandra.cql3.CQL3Type$Custom,&lt;init&gt;,type,1
org.apache.cassandra.cql3.CQL3Type$Native,getType,type,1
org.apache.cassandra.cql3.CQL3Type$Tuple,getType,type,1
org.apache.cassandra.cql3.CQL3Type$UserDefined,getType,type,1
org.apache.cassandra.cql3.CQL3Type$Vector,getType,type,1
org.apache.cassandra.cql3.CQL3Type$Vector,&lt;init&gt;,type,1
org.apache.cassandra.cql3.ColumnsExpression,columns,columns,1
org.apache.cassandra.cql3.CqlLexer,mTokens,NOVALUE,1
org.apache.cassandra.cql3.CqlLexer$DFA1,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.CqlLexer$DFA1,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.CqlLexer$DFA1,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.CqlParser,NOVALUE,tokenNames,1
org.apache.cassandra.cql3.Cql_Lexer,NOVALUE,gCql,1
org.apache.cassandra.cql3.Cql_Lexer,NOVALUE,gParent,1
org.apache.cassandra.cql3.Cql_Lexer$DFA13,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA13,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Lexer$DFA13,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Lexer$DFA22,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA22,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Lexer$DFA22,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Lexer$DFA25,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA25,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Lexer$DFA25,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Lexer$DFA32,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA32,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Lexer$DFA32,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Lexer$DFA35,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA35,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Lexer$DFA35,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Lexer$DFA50,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA50,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Lexer$DFA50,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Lexer$DFA57,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Lexer$DFA57,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser,NOVALUE,reservedTypeNames,1
org.apache.cassandra.cql3.Cql_Parser,permission,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,shorthandColumnOperation,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,vector_type,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,alterKeyspaceStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,alterMaterializedViewStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,alterRoleStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,alterTableStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,alterTypeStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,batchStatement,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,batchStatementObjective,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,cfName,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,cident,NOVALUE,1
