class,method_name,field_name,count
org.apache.maven.lifecycle.Lifecycle,getPhases,phases,1
org.apache.maven.lifecycle.Lifecycle,&lt;init&gt;,defaultPhases,1
org.apache.maven.lifecycle.Lifecycle,&lt;init&gt;,phases,1
org.apache.maven.lifecycle.LifecycleExecutionException,getProject,project,1
org.apache.maven.lifecycle.MavenExecutionPlan,&lt;init&gt;,planItem,1
org.apache.maven.lifecycle.internal.DefaultLifecycleExecutionPlanCalculator,&lt;init&gt;,delegates,1
org.apache.maven.lifecycle.internal.DefaultLifecycleExecutionPlanCalculator,&lt;init&gt;,mojoExecutionConfigurators,1
org.apache.maven.lifecycle.internal.DependencyContext,getProject,project,1
org.apache.maven.lifecycle.internal.DependencyContext,getScopesToCollectForAggregatedProjects,scopesToCollectForAggregatedProjects,1
org.apache.maven.lifecycle.internal.DependencyContext,getScopesToCollectForCurrentProject,scopesToCollectForCurrentProject,1
org.apache.maven.lifecycle.internal.DependencyContext,getScopesToResolveForAggregatedProjects,scopesToResolveForAggregatedProjects,1
org.apache.maven.lifecycle.internal.DependencyContext,getScopesToResolveForCurrentProject,scopesToResolveForCurrentProject,1
org.apache.maven.lifecycle.internal.DependencyContext,&lt;init&gt;,project,1
org.apache.maven.lifecycle.internal.DependencyContext,&lt;init&gt;,scopesToCollectForCurrentProject,1
org.apache.maven.lifecycle.internal.DependencyContext,&lt;init&gt;,scopesToResolveForCurrentProject,1
org.apache.maven.lifecycle.internal.ExecutionPlanItem,getMojoExecution,mojoExecution,1
org.apache.maven.lifecycle.internal.ExecutionPlanItem,&lt;init&gt;,mojoExecution,1
org.apache.maven.lifecycle.internal.LifecycleDependencyResolver,&lt;init&gt;,projectArtifactsCache,1
org.apache.maven.lifecycle.internal.LifecycleDependencyResolver,resolveProjectDependencies,NOVALUE,1
org.apache.maven.lifecycle.internal.LifecycleStarter,&lt;init&gt;,builders,1
org.apache.maven.lifecycle.internal.LifecycleStarter,execute,NOVALUE,1
org.apache.maven.lifecycle.internal.MojoDescriptorCreator,getMojoDescriptor,NOVALUE,1
org.apache.maven.lifecycle.internal.MojoExecutor,&lt;init&gt;,mavenPluginManager,1
org.apache.maven.lifecycle.internal.PhaseRecorder,&lt;init&gt;,project,1
org.apache.maven.lifecycle.internal.ProjectIndex,getIndices,indices,1
org.apache.maven.lifecycle.internal.ProjectIndex,getProjects,projects,1
org.apache.maven.lifecycle.internal.ProjectSegment,getImmediateUpstreamProjects,nonTransitiveUpstreamProjects,1
org.apache.maven.lifecycle.internal.ProjectSegment,getProject,project,1
org.apache.maven.lifecycle.internal.ProjectSegment,getSession,session,1
org.apache.maven.lifecycle.internal.ProjectSegment,getTransitiveUpstreamProjects,transitiveUpstreamProjects,1
org.apache.maven.lifecycle.internal.ProjectSegment,&lt;init&gt;,project,1
org.apache.maven.lifecycle.internal.ProjectSegment,&lt;init&gt;,session,1
org.apache.maven.lifecycle.internal.ReactorContext,getResult,result,1
org.apache.maven.lifecycle.internal.ReactorContext,&lt;init&gt;,result,1
org.apache.maven.lifecycle.internal.TaskSegment,getTasks,tasks,1
org.apache.maven.lifecycle.internal.builder.BuilderCommon,&lt;init&gt;,lifeCycleExecutionPlanCalculator,1
org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxer,&lt;init&gt;,originalSystemOUtStream,1
