class,method,field,count
org.apache.phoenix.coprocessor.BaseScannerRegionObserver,NOVALUE,REPLAY_ONLY_INDEX_WRITES,1
org.apache.phoenix.coprocessor.BaseScannerRegionObserver,NOVALUE,REPLAY_TABLE_AND_INDEX_WRITES,1
org.apache.phoenix.coprocessor.DropColumnMutator,getTableAndDroppedColumnPairs,tableAndDroppedColPairs,1
org.apache.phoenix.coprocessor.HashJoinRegionScanner,&lt;init&gt;,projector,1
org.apache.phoenix.coprocessor.IndexRebuildRegionScanner,setIndexTableTTL,indexTableTTL,1
org.apache.phoenix.coprocessor.IndexRebuildRegionScanner,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.coprocessor.IndexRebuildRegionScanner,setIndexKeyToMutationMap,indexKeyToMutationMap,1
org.apache.phoenix.coprocessor.IndexRebuildRegionScanner,NOVALUE,ROW_KEY_SEPARATOR_BYTE,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,createTable,NOVALUE,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,getSchemaTableNames,NOVALUE,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,NOVALUE,ROW_KEY_ORDER_OPTIMIZABLE_BYTES,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,NOVALUE,VIEW_MODIFIED_PROPERTY_BYTES,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,loadSchema,NOVALUE,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,loadTable,NOVALUE,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,getFunction,NOVALUE,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,doDropFunction,NOVALUE,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,updateIndexState,NOVALUE,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl,getSchema,NOVALUE,1
org.apache.phoenix.coprocessor.MetaDataEndpointImpl$StatsDeleteHandler,NOVALUE,NOVALUE,1
org.apache.phoenix.coprocessor.MetaDataProtocol$MetaDataMutationResult,getColumnName,columnName,1
org.apache.phoenix.coprocessor.MetaDataProtocol$MetaDataMutationResult,getFamilyName,familyName,1
org.apache.phoenix.coprocessor.MetaDataProtocol$MetaDataMutationResult,getFunctions,functions,1
org.apache.phoenix.coprocessor.MetaDataProtocol$MetaDataMutationResult,getSharedTablesToDelete,sharedTablesToDelete,1
org.apache.phoenix.coprocessor.MetaDataProtocol$MetaDataMutationResult,getTableNamesToDelete,tableNamesToDelete,1
org.apache.phoenix.coprocessor.MetaDataProtocol$MetaDataMutationResult,&lt;init&gt;,functions,1
org.apache.phoenix.coprocessor.MetaDataProtocol$MetaDataMutationResult,&lt;init&gt;,tableNamesToDelete,1
org.apache.phoenix.coprocessor.MetaDataProtocol$MetaDataMutationResult,&lt;init&gt;,sharedTablesToDelete,1
org.apache.phoenix.coprocessor.MetaDataProtocol$SharedTableState,getColumns,columns,1
org.apache.phoenix.coprocessor.MetaDataProtocol$SharedTableState,getPhysicalNames,physicalNames,1
org.apache.phoenix.coprocessor.MetaDataRegionObserver,start,initialRebuildTaskDelay,1
org.apache.phoenix.coprocessor.MetaDataRegionObserver,start,rebuildIndexTimeInterval,1
org.apache.phoenix.coprocessor.MetaDataRegionObserver,start,enableRebuildIndex,1
org.apache.phoenix.coprocessor.MetaDataRegionObserver$1,run,NOVALUE,1
