class,method,field,count
org.apache.cassandra.cql3.Cql_Parser,property,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,propertyValue,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,relation,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,relationType,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,resource,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,roleName,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,roleResource,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,selectClause,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,selectionFunction,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,selectionGroup,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,selectionGroupWithoutField,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,selectionLiteral,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,selectionMapOrSet,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,selectionMultiplication,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,selector,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,selectorModifier,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,selectors,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,setOrMapLiteral,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,sident,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,simpleTerm,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,simpleUnaliasedSelector,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,tableClusteringOrder,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,tableColumns,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,termGroup,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,termMultiplication,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,unreserved_function_keyword,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,unreserved_keyword,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,userTypeName,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,username,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,usingClauseObjective,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,value,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,viewClusteringOrder,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser,NOVALUE,gCql,1
org.apache.cassandra.cql3.Cql_Parser,NOVALUE,gParent,1
org.apache.cassandra.cql3.Cql_Parser$DFA1,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA1,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA1,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser$DFA11,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA11,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA146,&lt;init&gt;,recognizer,1
